file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,76,css,ebcf08b0,Tori Nguyen,2025-10-09,13:33:17,-07:00,2025-10-09T13:33:17-07:00,1,7
style.css,77,css,ebcf08b0,Tori Nguyen,2025-10-09,13:33:17,-07:00,2025-10-09T13:33:17-07:00,0,0
style.css,78,css,ebcf08b0,Tori Nguyen,2025-10-09,13:33:17,-07:00,2025-10-09T13:33:17-07:00,0,20
style.css,79,css,ebcf08b0,Tori Nguyen,2025-10-09,13:33:17,-07:00,2025-10-09T13:33:17-07:00,1,8
style.css,80,css,0b52c4be,Tori Nguyen,2025-10-16,15:41:24,-07:00,2025-10-16T15:41:24-07:00,0,0
style.css,81,css,0b52c4be,Tori Nguyen,2025-10-16,15:41:24,-07:00,2025-10-16T15:41:24-07:00,0,13
style.css,82,css,0b52c4be,Tori Nguyen,2025-10-16,15:41:24,-07:00,2025-10-16T15:41:24-07:00,1,17
style.css,83,css,0b52c4be,Tori Nguyen,2025-10-16,15:41:24,-07:00,2025-10-16T15:41:24-07:00,1,8
style.css,84,css,0b52c4be,Tori Nguyen,2025-10-16,15:41:24,-07:00,2025-10-16T15:41:24-07:00,1,10
style.css,85,css,0b52c4be,Tori Nguyen,2025-10-16,15:41:24,-07:00,2025-10-16T15:41:24-07:00,1,13
style.css,86,css,0b52c4be,Tori Nguyen,2025-10-16,15:41:24,-07:00,2025-10-16T15:41:24-07:00,1,19
style.css,87,css,0d2c78c6,Tori Nguyen,2025-10-28,23:42:44,-07:00,2025-10-28T23:42:44-07:00,0,0
style.css,88,css,0d2c78c6,Tori Nguyen,2025-10-28,23:42:44,-07:00,2025-10-28T23:42:44-07:00,0,18
style.css,89,css,1862bbcc,Tori Nguyen,2025-10-29,20:15:44,-07:00,2025-10-29T20:15:44-07:00,1,48
style.css,90,css,0d2c78c6,Tori Nguyen,2025-10-28,23:42:44,-07:00,2025-10-28T23:42:44-07:00,1,14
style.css,91,css,1862bbcc,Tori Nguyen,2025-10-29,20:15:44,-07:00,2025-10-29T20:15:44-07:00,1,11
style.css,92,css,1862bbcc,Tori Nguyen,2025-10-29,20:15:44,-07:00,2025-10-29T20:15:44-07:00,1,18
style.css,93,css,0d2c78c6,Tori Nguyen,2025-10-28,23:42:44,-07:00,2025-10-28T23:42:44-07:00,1,16
style.css,94,css,0d2c78c6,Tori Nguyen,2025-10-28,23:42:44,-07:00,2025-10-28T23:42:44-07:00,1,16
style.css,95,css,1862bbcc,Tori Nguyen,2025-10-29,20:15:44,-07:00,2025-10-29T20:15:44-07:00,0,0
style.css,96,css,1862bbcc,Tori Nguyen,2025-10-29,20:15:44,-07:00,2025-10-29T20:15:44-07:00,0,7
style.css,97,css,1862bbcc,Tori Nguyen,2025-10-29,20:15:44,-07:00,2025-10-29T20:15:44-07:00,1,12
style.css,98,css,1862bbcc,Tori Nguyen,2025-10-29,20:15:44,-07:00,2025-10-29T20:15:44-07:00,1,57
style.css,99,css,1862bbcc,Tori Nguyen,2025-10-29,20:15:44,-07:00,2025-10-29T20:15:44-07:00,1,6
style.css,100,css,1862bbcc,Tori Nguyen,2025-10-29,20:15:44,-07:00,2025-10-29T20:15:44-07:00,1,21
style.css,101,css,1862bbcc,Tori Nguyen,2025-10-29,20:15:44,-07:00,2025-10-29T20:15:44-07:00,1,9
style.css,102,css,1862bbcc,Tori Nguyen,2025-10-29,20:15:44,-07:00,2025-10-29T20:15:44-07:00,1,10
style.css,103,css,1862bbcc,Tori Nguyen,2025-10-29,20:15:44,-07:00,2025-10-29T20:15:44-07:00,1,13
style.css,104,css,1862bbcc,Tori Nguyen,2025-10-29,20:15:44,-07:00,2025-10-29T20:15:44-07:00,1,18
style.css,105,css,1862bbcc,Tori Nguyen,2025-10-29,20:15:44,-07:00,2025-10-29T20:15:44-07:00,1,18
style.css,106,css,1862bbcc,Tori Nguyen,2025-10-29,20:15:44,-07:00,2025-10-29T20:15:44-07:00,1,30
style.css,107,css,1862bbcc,Tori Nguyen,2025-10-29,20:15:44,-07:00,2025-10-29T20:15:44-07:00,0,0
style.css,108,css,1862bbcc,Tori Nguyen,2025-10-29,20:15:44,-07:00,2025-10-29T20:15:44-07:00,0,12
style.css,109,css,1862bbcc,Tori Nguyen,2025-10-29,20:15:44,-07:00,2025-10-29T20:15:44-07:00,1,12
style.css,110,css,1862bbcc,Tori Nguyen,2025-10-29,20:15:44,-07:00,2025-10-29T20:15:44-07:00,1,18
style.css,111,css,1862bbcc,Tori Nguyen,2025-10-29,20:15:44,-07:00,2025-10-29T20:15:44-07:00,1,9
style.css,112,css,1862bbcc,Tori Nguyen,2025-10-29,20:15:44,-07:00,2025-10-29T20:15:44-07:00,0,0
style.css,113,css,1862bbcc,Tori Nguyen,2025-10-29,20:15:44,-07:00,2025-10-29T20:15:44-07:00,0,7
style.css,114,css,1862bbcc,Tori Nguyen,2025-10-29,20:15:44,-07:00,2025-10-29T20:15:44-07:00,1,20
style.css,115,css,1862bbcc,Tori Nguyen,2025-10-29,20:15:44,-07:00,2025-10-29T20:15:44-07:00,1,10
style.css,116,css,1862bbcc,Tori Nguyen,2025-10-29,20:15:44,-07:00,2025-10-29T20:15:44-07:00,1,11
style.css,117,css,1862bbcc,Tori Nguyen,2025-10-29,20:15:44,-07:00,2025-10-29T20:15:44-07:00,1,29
style.css,118,css,1862bbcc,Tori Nguyen,2025-10-29,20:15:44,-07:00,2025-10-29T20:15:44-07:00,1,17
style.css,119,css,1862bbcc,Tori Nguyen,2025-10-29,20:15:44,-07:00,2025-10-29T20:15:44-07:00,1,18
style.css,120,css,1862bbcc,Tori Nguyen,2025-10-29,20:15:44,-07:00,2025-10-29T20:15:44-07:00,1,21
style.css,121,css,1862bbcc,Tori Nguyen,2025-10-29,20:15:44,-07:00,2025-10-29T20:15:44-07:00,0,0
style.css,122,css,1862bbcc,Tori Nguyen,2025-10-29,20:15:44,-07:00,2025-10-29T20:15:44-07:00,0,10
style.css,123,css,1862bbcc,Tori Nguyen,2025-10-29,20:15:44,-07:00,2025-10-29T20:15:44-07:00,1,12
style.css,124,css,1862bbcc,Tori Nguyen,2025-10-29,20:15:44,-07:00,2025-10-29T20:15:44-07:00,1,16
style.css,125,css,1862bbcc,Tori Nguyen,2025-10-29,20:15:44,-07:00,2025-10-29T20:15:44-07:00,1,6
style.css,126,css,1862bbcc,Tori Nguyen,2025-10-29,20:15:44,-07:00,2025-10-29T20:15:44-07:00,1,18
style.css,127,css,1862bbcc,Tori Nguyen,2025-10-29,20:15:44,-07:00,2025-10-29T20:15:44-07:00,1,9
style.css,128,css,c41b0508,Tori Nguyen,2025-10-29,22:00:11,-07:00,2025-10-29T22:00:11-07:00,0,0
style.css,129,css,c41b0508,Tori Nguyen,2025-10-29,22:00:11,-07:00,2025-10-29T22:00:11-07:00,0,17
style.css,130,css,c41b0508,Tori Nguyen,2025-10-29,22:00:11,-07:00,2025-10-29T22:00:11-07:00,1,16
style.css,131,css,c41b0508,Tori Nguyen,2025-10-29,22:00:11,-07:00,2025-10-29T22:00:11-07:00,2,11
style.css,132,css,c41b0508,Tori Nguyen,2025-10-29,22:00:11,-07:00,2025-10-29T22:00:11-07:00,1,0
style.css,133,css,c41b0508,Tori Nguyen,2025-10-29,22:00:11,-07:00,2025-10-29T22:00:11-07:00,0,0
style.css,134,css,c41b0508,Tori Nguyen,2025-10-29,22:00:11,-07:00,2025-10-29T22:00:11-07:00,0,4
style.css,135,css,c41b0508,Tori Nguyen,2025-10-29,22:00:11,-07:00,2025-10-29T22:00:11-07:00,1,16
style.css,136,css,c41b0508,Tori Nguyen,2025-10-29,22:00:11,-07:00,2025-10-29T22:00:11-07:00,1,14
style.css,137,css,c41b0508,Tori Nguyen,2025-10-29,22:00:11,-07:00,2025-10-29T22:00:11-07:00,0,0
style.css,138,css,c41b0508,Tori Nguyen,2025-10-29,22:00:11,-07:00,2025-10-29T22:00:11-07:00,0,9
style.css,139,css,c41b0508,Tori Nguyen,2025-10-29,22:00:11,-07:00,2025-10-29T22:00:11-07:00,1,35
style.css,140,css,c41b0508,Tori Nguyen,2025-10-29,22:00:11,-07:00,2025-10-29T22:00:11-07:00,0,0
style.css,141,css,c41b0508,Tori Nguyen,2025-10-29,22:00:11,-07:00,2025-10-29T22:00:11-07:00,1,10
style.css,142,css,c41b0508,Tori Nguyen,2025-10-29,22:00:11,-07:00,2025-10-29T22:00:11-07:00,2,17
style.css,143,css,c41b0508,Tori Nguyen,2025-10-29,22:00:11,-07:00,2025-10-29T22:00:11-07:00,1,0
style.css,144,css,91bad65e,Tori Nguyen,2025-09-30,23:42:04,-07:00,2025-09-30T23:42:04-07:00,0,0
index.js,1,js,8e9bc714,Tori Nguyen,2025-10-24,20:44:02,-07:00,2025-10-24T20:44:02-07:00,0,71
index.js,2,js,8e9bc714,Tori Nguyen,2025-10-24,20:44:02,-07:00,2025-10-24T20:44:02-07:00,0,54
index.js,3,js,8e9bc714,Tori Nguyen,2025-10-24,20:44:02,-07:00,2025-10-24T20:44:02-07:00,0,42
